SYMBOL,SECTOR,holidays
HCG-EQ,Full Market / Other,
HCL-INSYS-EQ,Full Market / Other,
HEADSUP-EQ,Full Market / Other,
HEALTHX-EQ,Full Market / Other,
HECPROJECT-EQ,Full Market / Other,
HEIDELBERG-EQ,Full Market / Other,
HEMIPROP-EQ,Full Market / Other,
HERANBA-EQ,Full Market / Other,
HERITGFOOD-EQ,Full Market / Other,
HESTERBIO-EQ,Full Market / Other,
HEXATRADEX-EQ,Full Market / Other,
HGINFRA-EQ,Full Market / Other,
HGM-EQ,Full Market / Other,
HGS-EQ,Full Market / Other,
HIKAL-EQ,Full Market / Other,
HIMATSEIDE-EQ,Full Market / Other,
HINDCOMPOS-EQ,Full Market / Other,
HINDOILEXP-EQ,Full Market / Other,
HINDWAREAP-EQ,Full Market / Other,
HIRECT-EQ,Full Market / Other,
HISARMETAL-EQ,Full Market / Other,
HITECH-EQ,Full Market / Other,
HITECHCORP-EQ,Full Market / Other,
HLEGLAS-EQ,Full Market / Other,
HLVLTD-EQ,Full Market / Other,
HMAAGRO-EQ,Full Market / Other,
HMVL-EQ,Full Market / Other,
HNDFDS-EQ,Full Market / Other,
HONDAPOWER-EQ,Full Market / Other,
HPAL-EQ,Full Market / Other,
HPIL-EQ,Full Market / Other,
HPL-EQ,Full Market / Other,
HTMEDIA-EQ,Full Market / Other,
HUBTOWN-EQ,Full Market / Other,
HUHTAMAKI-EQ,Full Market / Other,
HYBRIDFIN-EQ,Full Market / Other,
ICDSLTD-EQ,Full Market / Other,
ICEMAKE-EQ,Full Market / Other,
ICIL-EQ,Full Market / Other,
ICRA-EQ,Full Market / Other,
IFBIND-EQ,Full Market / Other,
IFGLEXPOR-EQ,Full Market / Other,
IGARASHI-EQ,Full Market / Other,
IGCL-EQ,Full Market / Other,
IGPL-EQ,Full Market / Other,
IIFLCAPS-EQ,Full Market / Other,
IITL-EQ,Full Market / Other,
IKIO-EQ,Full Market / Other,
IMAGICAA-EQ,Full Market / Other,
IMFA-EQ,Full Market / Other,
IMPAL-EQ,Full Market / Other,
INA-EQ,Full Market / Other,
INCREDIBLE-EQ,Full Market / Other,
INDBANK-EQ,Full Market / Other,
INDIAGLYCO-EQ,Full Market / Other,
INDIANCARD-EQ,Full Market / Other,
INDIANHUME-EQ,Full Market / Other,
INDIASHLTR-EQ,Full Market / Other,
INDIGOPNTS-EQ,Full Market / Other,
INDIQUBE-EQ,Full Market / Other,
INDNIPPON-EQ,Full Market / Other,
INDOAMIN-EQ,Full Market / Other,
INDOBORAX-EQ,Full Market / Other,
INDOCO-EQ,Full Market / Other,
INDOFARM-EQ,Full Market / Other,
INDORAMA-EQ,Full Market / Other,
INDOSTAR-EQ,Full Market / Other,
INDOTHAI-EQ,Full Market / Other,
INDOUS-EQ,Full Market / Other,
INDPRUD-EQ,Full Market / Other,
INDRAMEDCO-EQ,Full Market / Other,
INDSWFTLAB-EQ,Full Market / Other,
INDTERRAIN-EQ,Full Market / Other,
INFOBEAN-EQ,Full Market / Other,
INFOMEDIA-EQ,Full Market / Other,
INGERRAND-EQ,Full Market / Other,
INNOVACAP-EQ,Full Market / Other,
INNOVANA-EQ,Full Market / Other,
INNOVISION-EQ,Full Market / Other,
INOXGREEN-EQ,Full Market / Other,
INOXINDIA-EQ,Full Market / Other,
INSECTICID-EQ,Full Market / Other,
INTENTECH-EQ,Full Market / Other,
INTERARCH-EQ,Full Market / Other,
INTLCONV-EQ,Full Market / Other,
INVENTURE-EQ,Full Market / Other,
INVPRECQ-EQ,Full Market / Other,
IOLCP-EQ,Full Market / Other,
IONEXCHANG-EQ,Full Market / Other,
IPL-EQ,Full Market / Other,
IRIS-EQ,Full Market / Other,
IRISDOREME-EQ,Full Market / Other,
IRMENERGY-EQ,Full Market / Other,
ISFT-EQ,Full Market / Other,
ISGEC-EQ,Full Market / Other,
ISHANCH-EQ,Full Market / Other,
ITDC-EQ,Full Market / Other,
